m1,m2,m3,m4,m5,m6,maintainability,Reliability,total,ncloc,repository,version,data
0.6,0.2,1.0,1.0,1.0,0.0,0.29700000000000004,0.15,0.44700000000000006,53,FrontEnd,09-14-2021-02-19,11-12-2021
0.49019607843137253,0.0196078431372549,0.9607843137254902,1.0,1.0,0.27450980392156865,0.24264705882352944,0.24607843137254903,0.48872549019607847,2114,FrontEnd,10-17-2021-22-08,11-12-2021
0.49019607843137253,0.0196078431372549,0.9607843137254902,1.0,1.0,0.27450980392156865,0.24264705882352944,0.24607843137254903,0.48872549019607847,2114,FrontEnd,10-19-2021-02-02,11-12-2021
0.49019607843137253,0.0196078431372549,0.9607843137254902,1.0,1.0,0.27450980392156865,0.24264705882352944,0.24607843137254903,0.48872549019607847,2114,FrontEnd,10-19-2021-19-52,11-12-2021
0.49019607843137253,0.0196078431372549,0.9607843137254902,1.0,1.0,0.27450980392156865,0.24264705882352944,0.24607843137254903,0.48872549019607847,2114,FrontEnd,10-20-2021-02-39,11-12-2021
0.49019607843137253,0.0196078431372549,0.9607843137254902,1.0,1.0,0.27450980392156865,0.24264705882352944,0.24607843137254903,0.48872549019607847,2114,FrontEnd,10-20-2021-02-47,11-12-2021
0.49019607843137253,0.0196078431372549,0.9607843137254902,1.0,1.0,0.27450980392156865,0.24264705882352944,0.24607843137254903,0.48872549019607847,2114,FrontEnd,10-21-2021-03-24,11-12-2021
0.49019607843137253,0.0196078431372549,0.9607843137254902,1.0,1.0,0.27450980392156865,0.24264705882352944,0.24607843137254903,0.48872549019607847,2114,FrontEnd,10-21-2021-04-17,11-12-2021
0.49019607843137253,0.0196078431372549,0.9607843137254902,1.0,1.0,0.27450980392156865,0.24264705882352944,0.24607843137254903,0.48872549019607847,2114,FrontEnd,10-22-2021-01-58,11-12-2021
0.49019607843137253,0.0196078431372549,0.9607843137254902,1.0,1.0,0.27450980392156865,0.24264705882352944,0.24607843137254903,0.48872549019607847,2114,FrontEnd,10-27-2021-12-40,11-12-2021
0.49019607843137253,0.0196078431372549,0.9607843137254902,1.0,1.0,0.27450980392156865,0.24264705882352944,0.24607843137254903,0.48872549019607847,2114,FrontEnd,10-28-2021-13-21,11-12-2021
0.49019607843137253,0.0196078431372549,0.9607843137254902,1.0,1.0,0.27450980392156865,0.24264705882352944,0.24607843137254903,0.48872549019607847,2114,FrontEnd,10-29-2021-15-46,11-12-2021
0.49019607843137253,0.0196078431372549,0.9607843137254902,1.0,1.0,0.27450980392156865,0.24264705882352944,0.24607843137254903,0.48872549019607847,2114,FrontEnd,10-29-2021-20-30,11-12-2021
0.49019607843137253,0.0196078431372549,0.9607843137254902,1.0,1.0,0.27450980392156865,0.24264705882352944,0.24607843137254903,0.48872549019607847,2114,FrontEnd,10-30-2021-00-03,11-12-2021
0.49019607843137253,0.0196078431372549,0.9607843137254902,1.0,1.0,0.27450980392156865,0.24264705882352944,0.24607843137254903,0.48872549019607847,2114,FrontEnd,11-04-2021-15-53,11-12-2021
0.49019607843137253,0.0196078431372549,0.9607843137254902,1.0,1.0,0.27450980392156865,0.24264705882352944,0.24607843137254903,0.48872549019607847,2114,FrontEnd,11-05-2021-10-55,11-12-2021
0.5882352941176471,0.0196078431372549,0.9607843137254902,1.0,1.0,0.39215686274509803,0.25882352941176473,0.2872549019607843,0.5460784313725491,3786,FrontEnd,11-07-2021-23-29,11-12-2021
0.5735294117647058,0.029411764705882353,0.9705882352941176,1.0,1.0,0.4117647058823529,0.2596323529411765,0.2941176470588235,0.55375,5046,FrontEnd,11-08-2021-18-42,11-12-2021
0.578125,0.03125,0.96875,1.0,1.0,0.375,0.260390625,0.28125,0.541640625,4553,FrontEnd,11-09-2021-02-42,11-12-2021
0.5846153846153846,0.03076923076923077,0.9692307692307692,1.0,1.0,0.35384615384615387,0.26146153846153847,0.27384615384615385,0.5353076923076923,4522,FrontEnd,11-09-2021-20-32,11-12-2021
0.5846153846153846,0.03076923076923077,0.9692307692307692,1.0,1.0,0.35384615384615387,0.26146153846153847,0.27384615384615385,0.5353076923076923,4522,FrontEnd,11-09-2021-22-52,11-12-2021
0.5846153846153846,0.03076923076923077,0.9692307692307692,1.0,1.0,0.35384615384615387,0.26146153846153847,0.27384615384615385,0.5353076923076923,4522,FrontEnd,11-09-2021-22-55,11-12-2021
0.5970149253731343,0.04477611940298507,1.0,1.0,1.0,0.3283582089552239,0.2708955223880597,0.26492537313432835,0.535820895522388,4728,FrontEnd,11-10-2021-05-39,11-12-2021
0.5942028985507246,0.043478260869565216,1.0,1.0,1.0,0.3333333333333333,0.27021739130434785,0.26666666666666666,0.5368840579710146,4910,FrontEnd,11-11-2021-07-41,11-12-2021
0.5942028985507246,0.043478260869565216,1.0,1.0,1.0,0.3333333333333333,0.27021739130434785,0.26666666666666666,0.5368840579710146,4910,FrontEnd,11-11-2021-07-45,11-12-2021
0.5915492957746479,0.04225352112676056,1.0,1.0,1.0,0.3380281690140845,0.2695774647887324,0.26830985915492955,0.5378873239436619,5245,FrontEnd,11-11-2021-23-11,11-12-2021
0.8181818181818182,0.0,1.0,1.0,1.0,1.0,0.30000000000000004,0.5,0.8,351,Profile,10-20-2021-06-11,11-12-2021
0.8181818181818182,0.0,1.0,1.0,1.0,1.0,0.30000000000000004,0.5,0.8,351,Profile,10-20-2021-06-18,11-12-2021
0.8181818181818182,0.0,1.0,1.0,1.0,1.0,0.30000000000000004,0.5,0.8,351,Profile,10-28-2021-00-56,11-12-2021
